ID	Nombre	Apellido	Camisola	Seleccion	Puesto	Club					
478	Rodrigo 	Palacio	18	21	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Inter de Milán');					
479	Ricardo 	Álvarez	19	21	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Inter de Milán');					
480	Sergio 	Agüero	20	21	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Manchester City');					
481	Mariano 	Andújar	21	21	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Napoli');					
482	Ezequiel 	Lavezzi	22	21	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'París Saint-Germain');					
483	José 	Basanta	23	21	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Monterrey');					
484	Vincent  	Enyeama	1	24	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Lille');					
485	Joseph 	Yobo	2	24	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Fenerbahçe');					
486	Ejike 	Uzoenyi 	3	24	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Enugu Rangers');					
487	Reuben 	Gabriel	4	24	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Waasland-Beveren');					
488	Efe 	Ambrose	5	24	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Celtic');					
489	Azubuike 	Egwuekwe	6	24	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Warri Wolves');					
490	Ahmed	 Musa	7	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'CSKA Moscú');					
491	Peter 	Odemwingie	8	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Stoke City');					
492	Emmanuel 	Emenike	9	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Fenerbahçe');					
493	John 	Obi Mikel	10	24	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chelsea');					
494	Victor 	Moses	11	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chelsea');					
495	Kunle 	Odunlami	12	24	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sunshine Stars');					
496	Juwon 	Oshaniwa	13	24	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Ashdod');					
497	Godfrey 	Oboabona	14	24	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Çaykur Rizespor');					
498	Ramon 	Azeez	15	24	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Almería');					
499	Austin 	Ejide	16	24	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Hapoel Be'er Sheva');					
500	Ogenyi 	Onazi	17	24	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Lazio');					
501	Michel 	Babatunde	18	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Volyn Lutsk');					
502	Uche 	Nwofor	19	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'VVV Venlo');					
503	Michael 	Uchebo	20	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Cercle Brugge');					
504	Chigozie 	Agbim	21	24	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Gombe United');					
505	Kenneth 	Omeruo	22	24	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Chelsea');					
506	Shola 	Ameobi	23	24	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = '');					
507	Asmir 	Begovi?	1	22	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Stoke City');					
508	Avdija 	Vršajevi?	2	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Hajduk Split');					
509	Ermin 	Bi?ak?i?	3	22	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Eintracht Braunschweig');					
510	Emir 	Spahi? 	4	22	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Bayer 04 Leverkusen');					
511	Sead 	Kolašinac	5	22	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Schalke 04');					
512	Ognjen 	Vranješ	6	22	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Elaz??spor');					
513	Muhamed	 Beši?	7	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Ferencváros');					
514	Miralem 	Pjani?	8	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Roma');					
515	Vedad 	Ibiševi?	9	22	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Stuttgart');					
516	Zvjezdan 	Misimovi?	10	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Guizhou Renhe');					
517	Edin	 Džeko	11	22	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Manchester City');					
518	Jasmin 	Fejzi?	12	22	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Aalen');					
519	Mensur 	Mujdža	13	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Friburgo');					
520	Tino 	Suši?	14	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Hajduk Split');					
521	Toni 	Šunji?	15	22	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Zorya Lugansk');					
522	Senad 	Luli?	16	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Lazio');					
523	Senijad 	Ibri?i?	17	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Erciyesspor');					
524	Haris 	Medunjanin	18	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Gaziantepspor');					
525	Edin	 Viš?a	19	22	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Istanbul Ba?ak?ehir');					
526	Izet	 Hajrovi?	20	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Galatasaray');					
527	Anel 	Hadži?	21	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sturm Graz');					
528	Asmir 	Avduki?	22	22	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Borac Banja Luka');					
529	Sejad 	Salihovi?	23	22	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Hoffenheim');					
530	Rahman 	Ahmadi	1	23	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sepahan');					
531	Khosro 	Heydari	2	23	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Esteghlal');					
532	Ehsan 	Hajsafi	3	23	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sepahan');					
533	Jalal 	Hosseini	4	23	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Persépolis');					
534	Amir 	Hossein Sadeghi	5	23	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Esteghlal');					
535	Javad 	Nekounam 	6	23	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Al-Kuwait');					
536	Masoud 	Shojaei	7	23	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Las Palmas');					
537	Reza 	Haghighi	8	23	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Persépolis');					
538	Alireza 	Jahanbakhsh	9	23	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'NEC');					
539	Karim 	Ansarifard	10	23	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Persépolis');					
540	Ghasem 	Hadadifar	11	23	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Zob Ahan');					
541	Alireza 	Haghighi	12	23	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Sporting Covilhã');					
542	Hossein 	Mahini	13	23	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Persépolis');					
543	Andranik 	Teymourian	14	23	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Esteghlal');					
544	Pejman 	Montazeri	15	23	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Umm Salal');					
545	Reza 	Ghoochannejhad	16	23	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Charlton Athletic');					
546	Ahmad	 Alenemeh	17	23	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Naft Tehran');					
547	Bakhtiar 	Rahmani	18	23	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Foolad');					
548	Hashem 	Beikzadeh	19	23	3	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Esteghlal');					
549	Steven 	Beitashour	20	23	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Vancouver Whitecaps');					
550	Ashkan 	Dejagah	21	23	4	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Fulham');					
551	Daniel 	Davari	22	23	1	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Eintracht Braunschweig');					
552	Mehrdad	 Pouladi	23	23	2	(SELECT ID_CLUB FROM CLUBES WHERE NOMBRE = 'Persépolis');					
											
											
